"행정구역","2024년12월_계_총인구수","2024년12월_계_연령구간인구수","2024년12월_계_0~9세","2024년12월_계_10~19세","2024년12월_계_20~29세","2024년12월_계_30~39세","2024년12월_계_40~49세","2024년12월_계_50~59세","2024년12월_계_60~69세","2024년12월_계_70~79세","2024년12월_계_80~89세","2024년12월_계_90~99세","2024년12월_계_100세 이상","2024년12월_남_총인구수","2024년12월_남_연령구간인구수","2024년12월_남_0~9세","2024년12월_남_10~19세","2024년12월_남_20~29세","2024년12월_남_30~39세","2024년12월_남_40~49세","2024년12월_남_50~59세","2024년12월_남_60~69세","2024년12월_남_70~79세","2024년12월_남_80~89세","2024년12월_남_90~99세","2024년12월_남_100세 이상","2024년12월_여_총인구수","2024년12월_여_연령구간인구수","2024년12월_여_0~9세","2024년12월_여_10~19세","2024년12월_여_20~29세","2024년12월_여_30~39세","2024년12월_여_40~49세","2024년12월_여_50~59세","2024년12월_여_60~69세","2024년12월_여_70~79세","2024년12월_여_80~89세","2024년12월_여_90~99세","2024년12월_여_100세 이상"
"서울특별시  (1100000000)","9,331,828","9,331,828","483,780","720,767","1,308,260","1,442,665","1,383,950","1,486,068","1,326,239","773,771","355,250","49,594","1,484","4,505,355","4,505,355","248,113","368,724","615,810","722,187","683,706","730,924","627,775","349,792","144,375","13,615","334","4,826,473","4,826,473","235,667","352,043","692,450","720,478","700,244","755,144","698,464","423,979","210,875","35,979","1,150"
"서울특별시 종로구 (1111000000)","138,336","138,336","5,511","9,378","20,963","19,754","18,487","23,376","21,016","11,867","6,837","1,106","41","66,570","66,570","2,807","4,604","9,830","9,834","8,940","11,525","10,523","5,418","2,719","357","13","71,766","71,766","2,704","4,774","11,133","9,920","9,547","11,851","10,493","6,449","4,118","749","28"
"서울특별시 중구 (1114000000)","120,544","120,544","5,316","5,883","16,777","21,596","16,416","18,580","18,409","10,845","5,774","926","22","58,015","58,015","2,720","2,936","7,481","10,753","8,324","9,293","9,137","4,936","2,192","236","7","62,529","62,529","2,596","2,947","9,296","10,843","8,092","9,287","9,272","5,909","3,582","690","15"
"서울특별시 용산구 (1117000000)","203,854","203,854","10,250","12,916","27,775","36,786","29,357","32,657","28,488","15,450","8,656","1,467","52","97,469","97,469","5,201","6,591","12,617","18,057","14,506","15,895","13,913","6,929","3,283","460","17","106,385","106,385","5,049","6,325","15,158","18,729","14,851","16,762","14,575","8,521","5,373","1,007","35"
"서울특별시 성동구 (1120000000)","273,669","273,669","15,974","17,331","38,953","46,424","39,754","43,452","38,618","21,093","10,635","1,401","34","132,409","132,409","8,252","8,608","18,742","22,734","19,898","21,294","18,907","9,470","4,116","376","12","141,260","141,260","7,722","8,723","20,211","23,690","19,856","22,158","19,711","11,623","6,519","1,025","22"
"서울특별시 광진구 (1121500000)","331,963","331,963","14,098","22,986","56,887","55,354","46,529","52,263","46,029","24,724","11,469","1,577","47","159,237","159,237","7,203","11,611","26,265","27,586","22,777","25,336","22,007","11,269","4,717","453","13","172,726","172,726","6,895","11,375","30,622","27,768","23,752","26,927","24,022","13,455","6,752","1,124","34"
"서울특별시 동대문구 (1123000000)","338,735","338,735","17,174","22,270","55,543","50,145","47,253","51,914","48,622","29,361","14,531","1,872","50","165,620","165,620","8,707","11,313","26,082","25,665","24,286","26,182","23,758","13,273","5,806","536","12","173,115","173,115","8,467","10,957","29,461","24,480","22,967","25,732","24,864","16,088","8,725","1,336","38"
"서울특별시 중랑구 (1126000000)","379,274","379,274","17,793","23,268","47,546","58,262","51,810","63,359","64,182","35,234","15,744","2,016","60","185,473","185,473","9,059","11,935","22,482","29,726","26,935","31,295","31,007","16,148","6,360","514","12","193,801","193,801","8,734","11,333","25,064","28,536","24,875","32,064","33,175","19,086","9,384","1,502","48"
"서울특별시 성북구 (1129000000)","421,560","421,560","22,495","33,973","63,499","55,832","60,897","70,765","58,651","34,744","18,184","2,455","65","202,003","202,003","11,536","17,300","29,685","27,972","29,999","34,885","27,547","15,208","7,166","688","17","219,557","219,557","10,959","16,673","33,814","27,860","30,898","35,880","31,104","19,536","11,018","1,767","48"
"서울특별시 강북구 (1130500000)","283,597","283,597","10,554","18,405","36,202","34,602","37,947","49,733","48,077","30,719","15,559","1,755","44","136,789","136,789","5,392","9,384","16,983","18,177","19,666","24,559","22,807","13,186","6,122","503","10","146,808","146,808","5,162","9,021","19,219","16,425","18,281","25,174","25,270","17,533","9,437","1,252","34"
"서울특별시 도봉구 (1132000000)","303,228","303,228","12,967","21,597","35,652","37,405","40,743","53,292","53,474","30,684","15,278","2,075","61","146,696","146,696","6,679","11,174","17,611","19,177","20,441","25,600","25,135","14,172","6,133","561","13","156,532","156,532","6,288","10,423","18,041","18,228","20,302","27,692","28,339","16,512","9,145","1,514","48"
"서울특별시 노원구 (1135000000)","491,247","491,247","24,492","45,416","64,147","60,798","71,901","85,830","73,322","41,842","20,282","3,121","96","235,464","235,464","12,630","23,548","32,341","30,708","34,315","41,306","33,905","18,482","7,423","787","19","255,783","255,783","11,862","21,868","31,806","30,090","37,586","44,524","39,417","23,360","12,859","2,334","77"
"서울특별시 은평구 (1138000000)","460,919","460,919","22,056","34,299","59,286","66,321","67,227","77,598","69,457","41,465","20,583","2,558","69","218,214","218,214","11,285","17,555","27,364","32,396","33,140","37,313","32,254","17,955","8,206","728","18","242,705","242,705","10,771","16,744","31,922","33,925","34,087","40,285","37,203","23,510","12,377","1,830","51"
"서울특별시 서대문구 (1141000000)","302,853","302,853","16,407","21,711","46,822","44,821","42,811","48,522","41,751","24,415","13,677","1,847","69","143,412","143,412","8,409","10,811","21,386","22,158","21,095","23,532","19,648","10,567","5,243","552","11","159,441","159,441","7,998","10,900","25,436","22,663","21,716","24,990","22,103","13,848","8,434","1,295","58"
"서울특별시 마포구 (1144000000)","361,417","361,417","19,399","25,945","57,211","64,467","55,557","56,204","42,906","24,283","13,408","1,990","47","168,356","168,356","9,893","12,943","24,817","30,447","26,747","27,338","20,168","10,232","5,180","582","9","193,061","193,061","9,506","13,002","32,394","34,020","28,810","28,866","22,738","14,051","8,228","1,408","38"
"서울특별시 양천구 (1147000000)","430,976","430,976","23,903","46,832","49,788","52,579","70,646","73,856","63,133","34,627","13,475","2,072","65","210,199","210,199","12,282","24,305","25,058","26,154","33,752","36,544","29,965","16,282","5,356","489","12","220,777","220,777","11,621","22,527","24,730","26,425","36,894","37,312","33,168","18,345","8,119","1,583","53"
"서울특별시 강서구 (1150000000)","556,171","556,171","28,860","40,759","75,441","96,299","83,837","82,581","80,424","46,217","18,757","2,910","86","266,237","266,237","14,775","20,867","33,911","47,985","42,105","40,259","37,012","21,199","7,388","718","18","289,934","289,934","14,085","19,892","41,530","48,314","41,732","42,322","43,412","25,018","11,369","2,192","68"
"서울특별시 구로구 (1153000000)","388,169","388,169","21,066","27,523","48,308","60,988","56,458","61,376","58,921","36,195","15,370","1,911","53","189,991","189,991","10,845","14,005","23,221","31,103","28,857","30,460","27,845","16,658","6,478","506","13","198,178","198,178","10,221","13,518","25,087","29,885","27,601","30,916","31,076","19,537","8,892","1,405","40"
"서울특별시 금천구 (1154500000)","225,159","225,159","9,026","12,425","33,570","38,518","28,335","36,401","36,880","20,152","8,750","1,067","35","113,211","113,211","4,594","6,292","16,153","21,206","15,153","18,312","18,287","9,289","3,621","295","9","111,948","111,948","4,432","6,133","17,417","17,312","13,182","18,089","18,593","10,863","5,129","772","26"
"서울특별시 영등포구 (1156000000)","373,773","373,773","20,788","22,564","55,378","72,883","52,833","54,746","49,446","29,081","14,068","1,926","60","182,802","182,802","10,599","11,663","24,757","36,827","27,122","27,693","24,365","13,391","5,793","582","10","190,971","190,971","10,189","10,901","30,621","36,056","25,711","27,053","25,081","15,690","8,275","1,344","50"
"서울특별시 동작구 (1159000000)","375,799","375,799","18,625","25,190","62,110","60,801","52,671","57,102","50,843","31,386","14,930","2,076","65","181,576","181,576","9,507","12,862","29,809","31,040","26,352","27,854","23,603","13,664","6,280","587","18","194,223","194,223","9,118","12,328","32,301","29,761","26,319","29,248","27,240","17,722","8,650","1,489","47"
"서울특별시 관악구 (1162000000)","477,812","477,812","15,023","24,096","103,855","90,812","59,200","65,224","60,569","38,976","18,024","1,983","50","240,457","240,457","7,687","12,211","50,059","50,884","31,810","33,468","28,762","17,299","7,702","569","6","237,355","237,355","7,336","11,885","53,796","39,928","27,390","31,756","31,807","21,677","10,322","1,414","44"
"서울특별시 서초구 (1165000000)","408,376","408,376","26,634","44,789","48,973","57,116","70,881","66,402","48,526","30,398","12,664","1,931","62","194,153","194,153","13,692","22,658","23,165","26,413","32,703","32,740","22,565","13,815","5,783","605","14","214,223","214,223","12,942","22,131","25,808","30,703","38,178","33,662","25,961","16,583","6,881","1,326","48"
