"출입국항별","내외국인별","성별","항목","시점",데이터
"인천공항","내국인","남자","입국자","2001",70444
"인천공항","내국인","남자","입국자","2002",101032
"인천공항","내국인","남자","입국자","2003",102093
"인천공항","내국인","남자","입국자","2004",105204
"인천공항","내국인","남자","입국자","2005",115751
"인천공항","내국인","남자","입국자","2006",131321
"인천공항","내국인","남자","입국자","2007",141105
"인천공항","내국인","남자","입국자","2008",152644
"인천공항","내국인","남자","입국자","2009",156396
"인천공항","내국인","남자","입국자","2010",145965
"인천공항","내국인","남자","입국자","2011",149233
"인천공항","내국인","남자","입국자","2012",443102
"인천공항","내국인","남자","입국자","2013",145652
"인천공항","내국인","남자","입국자","2014",145019
"인천공항","내국인","남자","입국자","2015",138858
"인천공항","내국인","남자","입국자","2016",136025
"인천공항","내국인","남자","입국자","2017",132564
"인천공항","내국인","남자","입국자","2018",134600
"인천공항","내국인","남자","입국자","2019",130763
"인천공항","내국인","남자","입국자","2020",215308
"인천공항","내국인","남자","입국자","2021",108753
"인천공항","내국인","남자","입국자","2022",98654
"인천공항","내국인","남자","입국자","2023",97746
"인천공항","내국인","남자","출국자","2001",96551
"인천공항","내국인","남자","출국자","2002",124319
"인천공항","내국인","남자","출국자","2003",125215
"인천공항","내국인","남자","출국자","2004",134224
"인천공항","내국인","남자","출국자","2005",149303
"인천공항","내국인","남자","출국자","2006",164182
"인천공항","내국인","남자","출국자","2007",172152
"인천공항","내국인","남자","출국자","2008",169465
"인천공항","내국인","남자","출국자","2009",145609
"인천공항","내국인","남자","출국자","2010",150172
"인천공항","내국인","남자","출국자","2011",151081
"인천공항","내국인","남자","출국자","2012",452870
"인천공항","내국인","남자","출국자","2013",151941
"인천공항","내국인","남자","출국자","2014",140468
"인천공항","내국인","남자","출국자","2015",138947
"인천공항","내국인","남자","출국자","2016",132641
"인천공항","내국인","남자","출국자","2017",125305
"인천공항","내국인","남자","출국자","2018",122582
"인천공항","내국인","남자","출국자","2019",119872
"인천공항","내국인","남자","출국자","2020",103601
"인천공항","내국인","남자","출국자","2021",112505
"인천공항","내국인","남자","출국자","2022",133287
"인천공항","내국인","남자","출국자","2023",113276
"인천공항","내국인","여자","입국자","2001",69542
"인천공항","내국인","여자","입국자","2002",102880
"인천공항","내국인","여자","입국자","2003",106827
"인천공항","내국인","여자","입국자","2004",109738
"인천공항","내국인","여자","입국자","2005",121853
"인천공항","내국인","여자","입국자","2006",134263
"인천공항","내국인","여자","입국자","2007",144269
"인천공항","내국인","여자","입국자","2008",154104
"인천공항","내국인","여자","입국자","2009",155340
"인천공항","내국인","여자","입국자","2010",148001
"인천공항","내국인","여자","입국자","2011",148994
"인천공항","내국인","여자","입국자","2012",437507
"인천공항","내국인","여자","입국자","2013",137220
"인천공항","내국인","여자","입국자","2014",130075
"인천공항","내국인","여자","입국자","2015",124534
"인천공항","내국인","여자","입국자","2016",124538
"인천공항","내국인","여자","입국자","2017",121114
"인천공항","내국인","여자","입국자","2018",132624
"인천공항","내국인","여자","입국자","2019",126055
"인천공항","내국인","여자","입국자","2020",192236
"인천공항","내국인","여자","입국자","2021",79094
"인천공항","내국인","여자","입국자","2022",86959
"인천공항","내국인","여자","입국자","2023",95233
"인천공항","내국인","여자","출국자","2001",103115
"인천공항","내국인","여자","출국자","2002",136808
"인천공항","내국인","여자","출국자","2003",138674
"인천공항","내국인","여자","출국자","2004",147222
"인천공항","내국인","여자","출국자","2005",161084
"인천공항","내국인","여자","출국자","2006",174412
"인천공항","내국인","여자","출국자","2007",178329
"인천공항","내국인","여자","출국자","2008",172990
"인천공항","내국인","여자","출국자","2009",148251
"인천공항","내국인","여자","출국자","2010",156301
"인천공항","내국인","여자","출국자","2011",151129
"인천공항","내국인","여자","출국자","2012",452298
"인천공항","내국인","여자","출국자","2013",141817
"인천공항","내국인","여자","출국자","2014",134910
"인천공항","내국인","여자","출국자","2015",135295
"인천공항","내국인","여자","출국자","2016",132421
"인천공항","내국인","여자","출국자","2017",130748
"인천공항","내국인","여자","출국자","2018",127123
"인천공항","내국인","여자","출국자","2019",126747
"인천공항","내국인","여자","출국자","2020",80683
"인천공항","내국인","여자","출국자","2021",98314
"인천공항","내국인","여자","출국자","2022",130722
"인천공항","내국인","여자","출국자","2023",118599
"인천공항","외국인","남자","입국자","2001",60699
"인천공항","외국인","남자","입국자","2002",77745
"인천공항","외국인","남자","입국자","2003",85643
"인천공항","외국인","남자","입국자","2004",86848
"인천공항","외국인","남자","입국자","2005",126932
"인천공항","외국인","남자","입국자","2006",146542
"인천공항","외국인","남자","입국자","2007",137054
"인천공항","외국인","남자","입국자","2008",142198
"인천공항","외국인","남자","입국자","2009",105697
"인천공항","외국인","남자","입국자","2010",136716
"인천공항","외국인","남자","입국자","2011",147431
"인천공항","외국인","남자","입국자","2012",429316
"인천공항","외국인","남자","입국자","2013",175105
"인천공항","외국인","남자","입국자","2014",194067
"인천공항","외국인","남자","입국자","2015",170986
"인천공항","외국인","남자","입국자","2016",186190
"인천공항","외국인","남자","입국자","2017",210162
"인천공항","외국인","남자","입국자","2018",229397
"인천공항","외국인","남자","입국자","2019",189463
"인천공항","외국인","남자","입국자","2020",107974
"인천공항","외국인","남자","입국자","2021",106143
"인천공항","외국인","남자","입국자","2022",220602
"인천공항","외국인","남자","입국자","2023",238300
"인천공항","외국인","남자","출국자","2001",44548
"인천공항","외국인","남자","출국자","2002",58784
"인천공항","외국인","남자","출국자","2003",81678
"인천공항","외국인","남자","출국자","2004",75996
"인천공항","외국인","남자","출국자","2005",144938
"인천공항","외국인","남자","출국자","2006",89168
"인천공항","외국인","남자","출국자","2007",75387
"인천공항","외국인","남자","출국자","2008",104242
"인천공항","외국인","남자","출국자","2009",117883
"인천공항","외국인","남자","출국자","2010",89995
"인천공항","외국인","남자","출국자","2011",99311
"인천공항","외국인","남자","출국자","2012",320930
"인천공항","외국인","남자","출국자","2013",117888
"인천공항","외국인","남자","출국자","2014",115103
"인천공항","외국인","남자","출국자","2015",130335
"인천공항","외국인","남자","출국자","2016",140489
"인천공항","외국인","남자","출국자","2017",151742
"인천공항","외국인","남자","출국자","2018",160929
"인천공항","외국인","남자","출국자","2019",186041
"인천공항","외국인","남자","출국자","2020",177105
"인천공항","외국인","남자","출국자","2021",138749
"인천공항","외국인","남자","출국자","2022",124034
"인천공항","외국인","남자","출국자","2023",148900
"인천공항","외국인","여자","입국자","2001",47963
"인천공항","외국인","여자","입국자","2002",57354
"인천공항","외국인","여자","입국자","2003",54732
"인천공항","외국인","여자","입국자","2004",62978
"인천공항","외국인","여자","입국자","2005",87119
"인천공항","외국인","여자","입국자","2006",99911
"인천공항","외국인","여자","입국자","2007",112276
"인천공항","외국인","여자","입국자","2008",114242
"인천공항","외국인","여자","입국자","2009",97197
"인천공항","외국인","여자","입국자","2010",118154
"인천공항","외국인","여자","입국자","2011",117704
"인천공항","외국인","여자","입국자","2012",349153
"인천공항","외국인","여자","입국자","2013",134839
"인천공항","외국인","여자","입국자","2014",155384
"인천공항","외국인","여자","입국자","2015",143525
"인천공항","외국인","여자","입국자","2016",153157
"인천공항","외국인","여자","입국자","2017",174969
"인천공항","외국인","여자","입국자","2018",189754
